"Site_ID","Year","X10th_percentile","Median","X90th_percentile"
"CH",2019,NA,NA,NA
"CL",2019,102,116,139
"WC",2019,NA,NA,NA
"EL",2019,111,133,155
"HE",2019,102.1,118,126
"LA",2019,102.4,114,124.7
"BL",2019,100,104,125
"LO",2019,NA,NA,NA
"MA",2019,NA,NA,NA
"SF",2019,105.7,125,152
"SE",2019,99,112,120
"SU",2019,NA,NA,NA
"BU",2019,115,135,153
"VA",2019,100,116,135.7
"BV",2020,113,124,153
"CA",2020,114,131.5,146
"CH",2020,123,138,153
"CL",2020,115,122,157
"WC",2020,115,129,153
"EL",2020,113.4,124,146
"HE",2020,NA,NA,NA
"LA",2020,112,121,154
"BL",2020,114.1,119,132
"LO",2020,117,124,135
"MA",2020,112.9,119,133.1
"SF",2020,113,122,141
"SE",2020,111,116,141.8
"SU",2020,114,121,138.6
"BU",2020,119.6,135,147
"VA",2020,115.6,127,141
"BV",2021,NA,NA,NA
"CA",2021,NA,NA,NA
"CH",2021,NA,NA,NA
"CL",2021,NA,NA,NA
"WC",2021,NA,NA,NA
"EL",2021,NA,NA,NA
"HE",2021,NA,NA,NA
"LA",2021,NA,NA,NA
"BL",2021,NA,NA,NA
"LO",2021,NA,NA,NA
"MA",2021,NA,NA,NA
"SF",2021,NA,NA,NA
"SE",2021,NA,NA,NA
"SU",2021,NA,NA,NA
"BU",2021,NA,NA,NA
"VA",2021,NA,NA,NA
"BV",2022,120.7,135,155.9
"CA",2022,NA,NA,NA
"CH",2022,122.4,135,147
"CL",2022,121.5,130,146
"WC",2022,NA,NA,NA
"EL",2022,118,126,148
"HE",2022,NA,NA,NA
"LA",2022,114,121,154.2
"BL",2022,NA,NA,NA
"LO",2022,125,130,138
"MA",2022,125,132,146
"SF",2022,119,129,147
"SE",2022,102,120,145
"SU",2022,NA,NA,NA
"BU",2022,129,144,152
"VA",2022,127,132,148
"BV",2023,118,124,139.5
"CA",2023,NA,NA,NA
"CH",2023,107,124,137.4
"CL",2023,NA,NA,NA
"WC",2023,NA,NA,NA
"EL",2023,121,126,159
"HE",2023,NA,NA,NA
"LA",2023,NA,NA,NA
"BL",2023,NA,NA,NA
"LO",2023,NA,NA,NA
"MA",2023,121,126,143
"SF",2023,122,131,144
"SE",2023,NA,NA,NA
"SU",2023,NA,NA,NA
"BU",2023,NA,NA,NA
"VA",2023,NA,NA,NA
